acitrate,gitrate
cizolin,bezolin
amlogen,amlodn
eoroxime 750,uroxime 750
vaxol,caxol
multizine,multizee
pantazil,pantaz
zitabin 1000,sitatin 100
risgen,rispen
bonsenz,ginsenz
retapenem,retapentin
moxidin,maxidin
febstat 40,febsan 40
rosubest 20,rosubet 40
multizine,multizin
ketoran,ketorine
onefix,onafix
montelev,montelast
ceprime,cexime
eoroxime 750,theoroxime 750
pantazil,pantonil
insuget 70 30,insulet 30 70
mioclof,medclof
fentyn,fentin
cartine,cartinex
clindacare,clindarene
celeb 200,celence 200
beztin,buztin
osteomeg,osteomax
puroxan,puroxel
diosid,diozide
mupivita,mucovita
bactrigon,bactroban
clindavint,clindavest
rovix,povix
ximvex,ximex
neurobiz,neurobion
onefix,benefix
ketoran,ketoman
folicard,folicure
affolac,apfolic
berrydazole,bestdazole
telsar 80,telstar 80
ventcare,venacare
norphed,noriphed
ketoran,ketosan
rapidon,rapidsen
rapidon,aspidon
telsar 80,telsartin 80
cartine,cartin
luotriaxone,protriaxone
maxidine,maxidyne
felizen,fenolizen
cizolin,cikolin
cloxin,cloxil
pantazil,pancarzil
retasarc,retasar
rifoxyn,rifoxane
montelev,montezel
peptobloc,pantobloc
bucligen,mecligen
losar 50,losan 50
omecore,momecort
ledrocid,edroxid
vaxol,voxoll
pantazil,pentazol
njectzole,njectxone
theoroxime 750,eoroxime 250
gozol iv,gezole iv
tigecid,tigeclin
felizen,felojen
esmazol,epimazol
aubrex,lubrex
medivasc,metavasc
hepabil,hepavid
dexmer,dexmed
retasarc,retazar
aviar,avsar
metocol,metoclon
cefromaxil,cefroxil
neurobiz,neurovit
osteomeg,osteomet
hepabil,hepabig
rodazid,rifazid
maxidine,raxidine
clindacare,clindasave
amlogen,amlopigen
sevomond,levomont
clindacare,clindabas
zitabin 1000,getabin 100
biopril,biopred
herperax,herpex
fusidasol,fusidane
clindavint,clindamit
rifoxyn,rifoxib
norphed,norpho
esmazol,kemazol
cosimetz,doximetz
glurexa,plurex
metrex,metorex
clindavint,clindacin
tribacef,tribac
esmazol,espazol
clophen,clophil
gascopan,iscopan
ciprophil,captophil
affolac,avolac
param iv,para iv
candegen,candifen
predixone,predzone
glixa,glix
domperone,domperiqo
aubrex,obrex
diprolene,diprosone
giomox,ginox
amloval 160 10,amlovart 160 10
domperone,dompedone
nicardilex,nicardime
asmagen,astagen
bactrigon,bacticon
algabin 75,regabin 75
optinova,zoplinova
cloxin,cloxacin
xeomin,geomin
onefix,oneflex
giomox,gomox
eoroxime 750,eroxime 500
zitabin 1000,getabin 1000
medivasc,metovasc
clophen,clocephen
cartine,cardin
asmagen,asmagone
metrex,mtrex
hemosdin,hemostan
ketoran,ketorac
ceprime,cefrimed
fenitin,fentin
madovin,metovin
neurobiz,neorobic
izon,izo
asmagen,asthmagen
domperone,komperdone
vistachlor,sustachlor
oxanova,roxinova
ceprime,cefuprime
ketoguard,metogard
gablin,gavlin
levollen,sevollen
cytamax 100,sitamac 100
amnoset,ambroset
voltaren forte,voren forte
aizerone,liverone
colchicine,colchicare
stanxime,sanoxime
osteomeg,osteomol
levollen,levogen
clozol,clozil
corvizem,corbizee
aerinex,burinex
luotriaxone,luoriaxon
nicardilex,nicardimeds
durazol,ferazol
tobracor,ibracor
cizolin,lizolid
maxidine,maxidin
ewel zee plus,jewel zee plus
tenol,tenoliv
clobesaph,globisaph
beztin,bestine
extreme c,xtrem c
hepabil,hepavir
cilvex,silvex
metocol,medicol
gascopan,buscopan
cloxin,cloxim
neuromard,neuromed
folicard,folicaid
rapidon,raphibon
biopril,biofil
coglitazone 30,goglitazone 30
luotriaxone,gotriaxone
rifelac,rifeclav
flosazin,floxazin
nicarfree,nicarpure
folicard,folicare
optinova,citinova
axonedu,axonex
retasarc,retazart
maxidine,dermaxidine
vaxol,paxol
kaptroban,bactroban
clozol,clazol
cizolin,phizolin
clindacare,clindacin
febuhil,cefuhil
acitrate,kaitrate
aizerone,zerone
tribacef,tribact
metrex,metvex
stanxime,stanxib
risgen,rosgen
febuhil,febuphil
losar 50,losarx 50
zenith,zenil
oxanova,laxanova
clindavint,clindaxin
bucligen,buclimin
montelev,montecet
insuget 70 30,insulet 50 50
rapidon,rapidol
durazol,urazole
tribacef,triacef
arpipo,arpip
diprolene,ciprollen
ventcare,venocare
povistat,rovista
maxidine,moxidin
omecore,omecare
tenol,tenolon
cloxin,cloxina
sevomond,sevomed
insuljack r,insuljack n
neurobiz,neuroliz
pantrex,pantro
candegen,capegen
moxidin,moxiden
pantazil,pantazo
folicard,folicap
clindacare,clindacure
cloxin,cloxid
