x_1,t_1,x_2,t_2,label
valzepam,væltsɪpæm,valopram,væləpɹæm,1
durazol,dʊɹɹɐzɑːl,ferazol,fɛɹɐzɑːl,1
finzant,fɪnzənt,folikant,fɑːlɪkənt,1
bactrigon,bæktɹɪgən,bactroban,bæktɹɑːbən,1
neopel,niːoʊpɛl,neoplin 150,niːoʊplɪn wʌnhʌndɹɪd fɪfti,1
peptobloc,pɛptəblɑːk,probloc,pɹɑːblɑːk,1
puxenon,pʌksɛnən,uxenta,ʌksɛntə,1
medivasc,mɛdɪvæsk,dilavasc,dɪlɐvæsk,1
ivetra 100,aɪvtɹə wʌnhʌndɹɪd,ivetra 500,aɪvtɹə faɪvhʌndɹɪd,1
rodazid,ɹɑːdɐzɪd,drozid,dɹɑːzɪd,1
rezotam,ɹɪzɑːɾæm,razytam,ɹeɪzɪtæm,1
eoroxime 750,eɪɚɹɑːksaɪm sɛvənhʌndɹɪd fɪfti,eoroxime 250,eɪɚɹɑːksaɪm tuːhʌndɹɪd fɪfti,1
easyef,iːzɪɛf,easyfive tt,iːzɪfɪv tiːtiː,1
green viii inj,gɹiːn ɹoʊmən eɪt ɪndʒ,gref,gɹɛf,1
vino de quina,viːnoʊ də kwɪnə,vinmox,vɪnmɑːks,1
hepabil,hɛpɐbɪl,reparil,ɹɪpæɹəl,1
conpanzole,kənpænzoʊl,cozole,kɑːzoʊl,1
enerstress,ɛnɚstɹəs,enerboss,ɛnɚbɔs,1
tazastar 225,tæzɐstɑːɹ tuːhʌndɹɪd twɛnti faɪv,tazasave 225,tæzɐseɪv tuːhʌndɹɪd twɛnti faɪv,1
ceftrash 1000,sɛftɹæʃ wʌn θaʊzənd,ceftris,sɛftɹɪs,1
cefkizon,sɛfkaɪzən,izon,aɪzɑːn,1
united home dermatec,juːnaɪɾɪd hoʊm dɜːmeɪɾək,imatech,ɪmeɪtɛk,1
madovin,mædəvɪn,madexin,meɪdksɪn,1
chiamin s,tʃaɪəmɪn ɛs,antiphlamine s,æntɪflæmaɪn ɛs,1
omepors,oʊmpɚz,omep,oʊməp,1
tarka,tɑːɹkə,tarnax,tɑːɹnæks,1
