x_1,x_2,t_1,t_2,label
abelcet,amphotericin b,eɪbəlsɪt,æmfoʊtɹɪsɪn biː,1
accupril,aciphex,ɐkʌpɹəl,ɐsɪfɛks,1
acetaminophen,acetazolamide,æsɪtæmɪnɑːfən,æsɪtæzəlæmaɪd,1
acetazolamide,acetohexamide,æsɪtæzəlæmaɪd,æsɪtoʊhɪksæmaɪd,1
acetic acid for irrigation,glacial acetic acid,ɐsiːɾɪk æsɪd fɔːɹ ɪɹɪgeɪʃən,gleɪʃəl ɐsiːɾɪk æsɪd,1
aciphex,aricept,ɐsɪfɛks,æɹaɪsəpt,1
activase,cathflo activase,æktɪveɪs,kæθfloʊ æktɪveɪs,1
activase,tnkase,æktɪveɪs,tiːɛŋkeɪs,1
actonel,actos,æktoʊnəl,æktoʊz,1
adacel,daptacel,ɐdeɪsəl,dæpteɪsəl,1
adderall,adderall xr,ædɚɹɔːl,ædɚɹɔːl ɛksɑːɹ,1
adderall,inderal,ædɚɹɔːl,ɪndɛɹəl,1
ado-trastuzumab emtansine,trastuzumab,ɐduːtɹæstuːzjuːmæb ɛmtænsaɪn,tɹæstuːzjuːmæb,1
advair,advicor,ɐdvɛɹ,ɐdvɪkɚ,1
advicor,altocor,ɐdvɪkɚ,æltɑːkɚ,1
afrin,afrin,æfɹɪn,æfɹɪn,1
aggrastat,argatroban,ɐgɹæstæt,ɑːɹgɐtɹɑːbən,1
aldara,alora,ɔːldɑːɹɹə,ɐloːɹə,1
alfentanil,fentanyl,ɐlfɛntɐnɪl,fɛntɐnaɪl,1
alfentanil,sufentanil,ɐlfɛntɐnɪl,suːfəntænɪl,1
alkeran,leukeran,ælkɚɹən,luːkɚɹən,1
alkeran,myleran,ælkɚɹən,maɪlɚɹən,1
allegra,viagra,ɐlɛgɹə,vaɪægɹə,1
allegra,allegra anti-itch cream,ɐlɛgɹə,ɐlɛgɹə æntaɪɪtʃ kɹiːm,1
alprazolam,clonazepam,ælpɹɐzɑːlæm,klɑːneɪzpæm,1
alprazolam,lorazepam,ælpɹɐzɑːlæm,loːɹeɪzpæm,1
amantadine,amiodarone,æmɐntædiːn,æmɪɑːdɐɹoʊn,1
amaryl,reminyl,æmɑːɹɹɪl,ɹɪmɪnaɪl,1
ambien,ambrisentan,æmbiən,æmbɹɪsɛntən,1
ambisome,amphotericin b,æmbaɪsʌm,æmfoʊtɹɪsɪn biː,1
amicar,omacor,æmɪkɑːɹ,ɑːmækɚ,1
amikin,kineret,æmɪkɪn,kaɪnɹɪt,1
amiloride,amlodipine,æmɪloːɹaɪd,æmlədɪpaɪn,1
amphotericin b,amphotericin b liposomal,æmfoʊtɹɪsɪn biː,æmfoʊtɹɪsɪn biː lɪpəsɑːməl,1
anacin,anacin-3,ænɐsɪn,ænɐsɪn θɹiː,1
antacid,atacand,æntæsɪd,æɾɐkænd,1
anticoagulant citrate dextrose solution formula a,anticoagulant sodium citrate solution,æntɪkoʊægjʊlənt sɪtɹeɪt dɛkstɹoʊz səluːʃən fɔːɹmjʊlə eɪ,æntɪkoʊægjʊlənt soʊdiəm sɪtɹeɪt səluːʃən,1
antivert,axert,æntɪvɜːt,æksɚt,1
anzemet,avandamet,ænzɛmɪt,ævɐndæmɪt,1
apidra,spiriva,ɐpɪdɹə,spɪɹɪvə,1
apixaban,axitinib,ɐpɪksæbən,æksɪtɪnɪb,1
apresoline,priscoline,æpɹeɪɑːliːn,pɹɪskəliːn,1
argatroban,orgaran,ɑːɹgɐtɹɑːbən,ɔːɹgæɹən,1
