cefudec,cefudex,cefured,cefurex
coxin,cozin,dosin,doxin
coxin,dixin,dosin,doxin
coxin,dixin,doxin,fixin
accedome,accexime,accexone
aefox,aerox,sefox
aefox,sefos,sefox
aefox,sefox,zefix
aefur,zefir,zefur
aepime,sepime,zepime
aepotin,zeporin,zepotin
amkodine,amkoxime,amkoxone
bitagen,butagen,vitagen
cefimax,cefumac,cefumax
cefisan,cefosan,cerosan
ceftris,ceftrix,ceftrox
cefured,cefurex,cefutex
ciclox,diclox,xiflox
cidine,vidime,visine
citagem,cutagen,vitagen
clodin,cloxim,cloxin
cloxil,clozil,clozol
cloxil,clozil,floxil
copan,dopam,dopan
coxid,doxid,doxie
coxid,doxid,focid
coxid,doxid,xozid
dexone,fexone,rexone
dixin,fixin,rizin
doxan,rosan,roxab
euroxime,euroxone,eurozine
fedrin,ferrim,ferron
fixime,gixime,goxime
fixime,gixime,vidime
flusel,fluzel,fluzep
geocef,geocet,geofer
ginox,gomox,himox
giprazole,goprazole,viprazole
godine,goxime,goxone
gofix,gorox,vorix
ketocid,ketodix,ketofix
ketocid,ketofix,ketovid
ketoden,meroden,metoden
ketodol,ketoxil,ketoxol
ketodol,ketoxol,metocol
ketodol,metidol,metocol
ketoxil,ketoxol,ketozol
kodex,lidex,lorex
lefoxin,levocin,levoxin
levifar,levitar,levofar
levofin,levorin,levotin
medifer,medofer,mesofer
mucin,mycin,mycon
nicardin,nicarsin,nicarson
oradol,pradol,praxol
procin,proxim,proxin
proxim,proxin,prozin
razogen,taxogen,tazogen
ribedim,robecim,robedim
ricoxib,ricoxin,rifoxib
sartam,sartan,xartan
sedlor,seflor,zeflor
sedoz,sefos,sefox
selex,zelec,zelex
solifen,soligen,zoligen
zefir,zefur,zetir
abdin,abrin
abiron,avirin
acefin,acevon
aceflo,adeflo
acetafen,acetagen
acidem,aviden
aciflam,acuflam
acilev,aculev
actein,axtrin
acumox,scimox
adrim,aerum
aeknil,aeknol
aeprazole,zeprazole
aevosha,sevosha
affozole,atrozole
akidol,amixol
akucoline,skicoline
albez,alges
alcid,aldic
alcogen,alvogen
alcoxib,alfoxin
aldic,alrif
aldic,qodic
aldrox,alerix
alerid,alerix
alixime,alixone
alixime,apoxime
allergix,allertis
allergon,allertin
allerjec,allermed
allertin,alletrin
allurase,alpurase
almic,alnix
alrezin,aprezin
amadol,anaxol
amair,amzur
ambical,angical
ambidine,ambixime
ambimax,angimax
ambivent,angivent
amefocin,anerocin
aminosil,aminosol
amixlo,amixol
amixol,amizol
amixol,amoxil
amkodine,amlodine
amkomep,amlomel
amlin,amlon
amlocare,ampicare
amlodn,amlorh
amlosar,amloxar
amlovin,ampivin
amnotic,anmotic
ampicin,ampivin
amzol,anzol
angiogen,angioten
aralev,stalev
argicox,argifix
arnil,zenil
asmaclear,axmaclear
asomex,axonex
aspicard,aspicare
aspidon,aspirin
atadin,stadin
atorcad,atorvas
atrex,attex
atrex,zyrex
avas,avax
azimac,azomac
azimed,azimef
azimit,azimor
b1bloc,h2bloc
bacrocin,bacticin
bacticin,bacticon
batriban,natriban
beisartan,neosartan
beisol,brizol
bendared,bensarex
bercef,betcef
besartan,bezartan
betacard,betacare
betacare,betavate
betacert,betavert
betadol,betasol
betasol,betazok
bett,vert
bettam,vertam
bexil,hexol
bexil,vexil
bezogen,vesogen
bicarsaph,nicarsaph
bidox,bifix
bidox,gicox
bifix,gofix
bilex,biped
biodin,bioxib
biodol,biofil
biodol,niosol
biosone,gioxone
bisocor,bixocot
blevo,glevo
blicid,bloxid
