x_1,t_eng_1,t_fil_1,x_2,t_eng_2,t_fil_2,label
kay ciel,keɪ siːl,kajsjel,kayexalate,keɪɪksæleɪt,kajeksalate,1
hydrochlorothiazide,haɪdɹəkloːɹoʊθɪeɪzaɪd,hjdɾoʧloɾothiʔazide,valsartan hydrochlorothiazide,vælsɑːɹtən haɪdɹəkloːɹoʊθɪeɪzaɪd,valsaɾtanhjdɾoʧloɾothiʔazide,0
hydrogesic,haɪdɹoʊdʒzɪk,hjdɾogesik,hydroxyzine,haɪdɹɑːksɪziːn,hjdɾoksjzine,1
miralax,mɜːɹɐlæks,miɾalaks,mirapex,mɜːɹeɪpɛks,miɾapeks,1
cetirizine,sɛɾɪɹɪziːn,ketiɾizine,sertraline,sɜːtɹəlaɪn,seɾtɾaline,1
asacol,ɐsækɑːl,ʔasakol,os cal,oʊɛs kæl,ʔoskal,1
riboflavin,ɹɪbəflævɪn,ɾiboflavjn,griseofulvin,gɹaɪsəfʌlvɪn,gɾiseofulvjn,0
sumatriptan,suːmɐtɹɪptən,sumatɾiptan,zolmitriptan,zɑːlmɪtɹɪptən,zolmitɾiptan,1
sudafed 12 hour,suːdeɪft twɛlv aʊɚ,sudafed12houɾ,sudafed 12 hour pressure pain,suːdeɪft twɛlv aʊɚ pɹɛʃɚ peɪn,sudafed12houɾpɾesjuɾepaʔin,1
lantus,læntəs,lantus,latuda,lætuːdə,latuda,1
clonidine,klɑːnɪdiːn,klonidine,colonaid,kɑːləneɪd,kolonajd,0
ceftazidime,sɛftɐzɪdaɪm,keftasidime,ceftriaxone,sɛftɹɪæksoʊn,keftɾiʔaksone,1
flumazenil,fluːmeɪznɪl,flumaʔzenil,influenza virus vaccine,ɪnfluːɛnzə vaɪɹəs væksiːn,ʔinflujsaviɾusvakʔineʔ,1
avandia,ævændiə,ʔavandia,vaniqa,vænɪkə,vaniʔka,0
clindesse,klɪndɛs,klindesse,scenesse,siːnɛs,skjse,0
lotronex,lɑːtɹoʊnɛks,lotɾoneks,lotemax,loʊtmæks,lotemaks,0
anacin,ænɐsɪn,ʔanasjn,anacin 3,ænɐsɪn θɹiː,ʔanasjn3,1
tenex,tɛnɛks,teneks,xanax,zænæks,ksanaʔks,1
avandia,ævændiə,ʔavandia,prandin,pɹændɪn,pɾandin,1
novolog innolet,nɑːvəlɑːg ɪnnɑːlɪt,novologʔinnolet,novolog penfill,nɑːvəlɑːg pɛnfɪl,novologpenfilj,0
nystatin,nɪstɐtɪn,njstatin,bysanti,baɪsænti,bjsantiʔ,0
ambien,æmbiən,ʔambjen,ambrisentan,æmbɹɪsɛntən,ʔambɾisentan,1
memantine,mɛmɐntiːn,memantine,methadone,mɛθɐdoʊn,methadone,1
fentanyl,fɛntɐnaɪl,fentanjl,eutonyl,juːtənaɪl,ʔewtonjl,0
lunesta,lʌnɛstə,lunesta,glumetza,gluːmɛtsə,glumetsa,0
reminyl,ɹɪmɪnaɪl,ɾeminjl,bricanyl,bɹɪkɐnaɪl,bɾikanjl,0
allegra,ɐlɛgɹə,ʔallegɾa,viagra,vaɪægɹə,vjagɾa,1
misoprostol,mɪsɑːpɹɑːstəl,misopɾostol,carisoprodol,kæɹɪsɑːpɹədɑːl,kaɾisopɾodol,0
inspra,ɪnspɹɑː,ʔinspɾa,spiriva,spɪɹɪvə,spiɾiva,1
prazepam,pɹeɪzpæm,pɾasepam,temazepam,tɛmeɪzpæm,temasepam,0
renografin 60,ɹɪnɑːgɹɐfɪn sɪksti,ɾenogɾafin60,sinografin,sɪnəgɹæfɪn,sinogɾafin,0
effexor,ɛfɛksɚ,ʔeffeksoɾ,effexor xr,ɛfɛksɚɹ ɛksɑːɹ,ʔeffeksoɾksɾ,1
visicol,vɪsɪkɑːl,vikol,vaprisol,væpɹɪzɑːl,vapɾisol,0
restoril,ɹɪstoːɹəl,ɾestoɾil,crestor,kɹɛstɚ,kɾestoɾ,0
tacrolimus,tækɹəlɪməs,takɾolimus,tamsulosin,tæmsuːlɑːsɪn,tamsulosin,1
adderall,ædɚɹɔːl,ʔadɾol,adderall xr,ædɚɹɔːl ɛksɑːɹ,ʔadɾolksɾ,1
zemplar,zɛmplɚ,zemplaɾ,zemuron,ziːmjʊɹɹən,zemuɾon,1
