x_1,t_eng_1,t_fil_1,x_2,t_eng_2,t_fil_2,label,bisim,editex,editex_separate_substitutions,editex_separate_insertions,editex_separate_deletions,lcsubstring,lcsuf,levenshtein,levenshtein_consonant,levenshtein_separate_substitutions,levenshtein_separate_insertions,levenshtein_separate_deletions,prefix,visual_weighted,visual_weighted_separate_substitutions,visual_weighted_separate_insertions,visual_weighted_separate_deletions,aline_eng_kondrak_eng,aline_eng_kondrak_fil,aline_ph_mc_eng,aline_ph_mc_fil,len_diff,common_prefix_len,common_suffix_len,consonant_count_diff,syllable_diff,syllable_count_diff,vowel_count_diff,fil_vowel_skeleton_match,fil_penult_vowel_match,fil_onset_match,fil_coda_match,fil_phonetic_equal,n_marked,english_prominence_match
kay ciel,keɪ siːl,kajsjel,kayexalate,keɪɪksæleɪt,kajeksalate,1,0.3,0.6333333,4,3,0,0.3,0.0,0.3,0.39999998,5,2,0,0.3,0.64705884,3,3,0,0.56153846,0.519403,0.54615384,0.44179106,2,3,0,1,3,0,2,1,1,1,0,0,0,1
hydrochlorothiazide,haɪdɹəkloːɹoʊθɪeɪzaɪd,hjdɾoʧloɾothiʔazide,valsartan hydrochlorothiazide,vælsɑːɹtən haɪdɹəkloːɹoʊθɪeɪzaɪd,valsaɾtanhjdɾoʧloɾothiʔazide,0,0.62068963,0.79545456,0,9,0,0.6551724,0.6551724,0.6551724,0.6315789,0,10,0,0.0,0.8064516,0,9,0,0.6742857,0.6761364,0.6742857,0.6761364,10,0,19,6,3,3,3,0,1,0,1,0,2,1
hydrogesic,haɪdɹoʊdʒzɪk,hjdɾogesik,hydroxyzine,haɪdɹɑːksɪziːn,hjdɾoksjzine,1,0.45454547,0.8,4,1,0,0.45454547,0.0,0.5454545,0.5,4,1,0,0.45454547,0.7619048,4,1,0,0.7608108,0.5769231,0.6256757,0.5769231,1,5,0,1,0,0,0,0,0,1,0,0,1,0
miralax,mɜːɹɐlæks,miɾalaks,mirapex,mɜːɹeɪpɛks,miɾapeks,1,0.5714286,0.89285713,2,0,0,0.5714286,0.14285715,0.71428573,0.75,2,0,0,0.5714286,0.85714287,2,0,0,0.7909091,0.836,0.6309091,0.732,0,4,1,0,0,0,0,0,0,1,1,0,0,1
cetirizine,sɛɾɪɹɪziːn,ketiɾizine,sertraline,sɜːtɹəlaɪn,seɾtɾaline,1,0.2,0.8,5,0,0,0.3,0.3,0.5,0.5,5,0,0,0.0,0.74358976,5,0,0,0.74545455,0.6935484,0.5854545,0.62580645,0,0,3,1,1,1,1,0,1,1,1,0,0,1
asacol,ɐsækɑːl,ʔasakol,os cal,oʊɛs kæl,ʔoskal,1,0.0,0.8095238,2,0,1,0.16666667,0.16666667,0.5,0.75,3,0,0,0.0,0.72727275,2,0,1,0.7268293,0.8,0.45365855,0.5767442,0,0,1,0,1,1,1,0,0,0,1,0,1,0
riboflavin,ɹɪbəflævɪn,ɾiboflavjn,griseofulvin,gɹaɪsəfʌlvɪn,gɾiseofulvjn,0,0.33333334,0.76744187,3,2,0,0.25,0.25,0.5833334,0.71428573,3,2,0,0.0,0.77272725,3,2,0,0.6918919,0.69078946,0.6391892,0.69078946,2,0,3,1,0,1,1,0,0,0,1,0,0,1
sumatriptan,suːmɐtɹɪptən,sumatɾiptan,zolmitriptan,zɑːlmɪtɹɪptən,zolmitɾiptan,1,0.5,0.8913044,3,1,0,0.5833333,0.5833333,0.6666666,0.75,3,1,0,0.0,0.82608694,3,1,0,0.8618421,0.8684211,0.7434211,0.8,1,0,7,1,0,0,0,0,1,0,1,0,0,1
sudafed 12 hour,suːdeɪft twɛlv aʊɚ,sudafed12houɾ,sudafed 12 hour pressure pain,suːdeɪft twɛlv aʊɚ pɹɛʃɚ peɪn,sudafed12houɾpɾesjuɾepaʔin,1,0.51724136,0.6612903,1,12,0,0.51724136,0.0,0.51724136,0.5263158,0,14,0,0.51724136,0.64705884,0,12,0,0.6232877,0.4527027,0.6232877,0.4527027,14,15,0,7,4,4,5,0,1,1,0,0,0,0
lantus,læntəs,lantus,latuda,lætuːdə,latuda,1,0.5,0.75,1,1,1,0.33333334,0.0,0.5,0.5,1,1,1,0.33333334,0.75,1,1,1,0.68157893,0.69736844,0.6184211,0.6868421,0,2,0,1,1,1,1,0,1,1,0,0,1,1
clonidine,klɑːnɪdiːn,klonidine,colonaid,kɑːləneɪd,kolonajd,0,0.44444445,0.72727275,2,1,2,0.33333334,0.0,0.44444442,0.8,2,1,2,0.11111111,0.7058823,2,1,2,0.754,0.6181818,0.714,0.5418182,1,1,0,1,1,0,0,0,0,1,0,0,0,1
ceftazidime,sɛftɐzɪdaɪm,keftasidime,ceftriaxone,sɛftɹɪæksoʊn,keftɾiʔaksone,1,0.36363637,0.7906977,6,0,0,0.36363637,0.09090909,0.45454544,0.5,6,0,0,0.36363637,0.7380952,6,0,0,0.7189189,0.6419753,0.6486486,0.5691358,0,4,1,0,1,0,0,0,0,1,0,0,0,1
flumazenil,fluːmeɪznɪl,flumaʔzenil,influenza virus vaccine,ɪnfluːɛnzə vaɪɹəs væksiːn,ʔinflujsaviɾusvakʔineʔ,1,0.13043478,0.55,5,11,0,0.13043478,0.0,0.21739131,0.21428573,5,13,0,0.0,0.4918033,5,11,0,0.3627907,0.27246377,0.28139535,0.25797102,13,0,0,6,4,4,5,0,0,0,0,0,0,1
avandia,ævændiə,ʔavandia,vaniqa,vænɪkə,vaniʔka,0,0.2857143,0.76,2,0,1,0.42857143,0.14285715,0.57142854,0.6666666,2,0,1,0.0,0.7692308,2,0,1,0.6780488,0.5416667,0.6195122,0.47916666,1,0,1,0,0,1,1,0,1,0,0,0,0,1
clindesse,klɪndɛs,klindesse,scenesse,siːnɛs,skjse,0,0.33333334,0.8064516,3,0,1,0.44444445,0.44444445,0.5555556,0.5,3,0,1,0.0,0.78787875,1,1,2,0.52,0.29473683,0.4977778,0.29473683,1,0,4,1,0,1,0,0,1,0,1,0,0,1
lotronex,lɑːtɹoʊnɛks,lotɾoneks,lotemax,loʊtmæks,lotemaks,0,0.375,0.8333333,3,0,1,0.375,0.125,0.5,0.6,3,0,1,0.375,0.76666665,3,0,1,0.62903225,0.80701756,0.61612904,0.722807,1,3,1,1,0,0,0,0,1,1,1,0,1,0
anacin,ænɐsɪn,ʔanasjn,anacin 3,ænɐsɪn θɹiː,ʔanasjn3,1,0.75,1.0,0,0,0,0.75,0.0,0.75,0.6,0,2,0,0.75,1.0,0,0,0,0.6545454,1.0,0.6545454,1.0,2,6,0,0,0,0,0,1,1,1,1,1,0,1
tenex,tɛnɛks,teneks,xanax,zænæks,ksanaʔks,1,0.0,0.8,3,0,0,0.2,0.2,0.39999998,0.6666666,3,0,0,0.0,0.7,3,0,0,0.93421054,0.66346157,0.92368424,0.45576924,0,0,1,0,0,0,0,0,0,0,1,0,2,1
avandia,ævændiə,ʔavandia,prandin,pɹændɪn,pɾandin,1,0.42857143,0.7777778,3,0,0,0.5714286,0.0,0.57142854,0.39999998,3,0,0,0.0,0.78571427,3,0,0,0.65555555,0.62916666,0.5911111,0.5875,0,0,0,2,1,2,2,0,0,0,0,0,0,0
novolog innolet,nɑːvəlɑːg ɪnnɑːlɪt,novologʔinnolet,novolog penfill,nɑːvəlɑːg pɛnfɪl,novologpenfilj,0,0.53333336,0.8148148,4,1,1,0.53333336,0.0,0.6,0.7,6,0,0,0.53333336,0.78846157,6,0,0,0.75116277,0.7096774,0.69418603,0.6892473,0,8,0,1,1,1,1,1,1,1,0,0,1,1
nystatin,nɪstɐtɪn,njstatin,bysanti,baɪsænti,bjsantiʔ,0,0.25,0.73333335,3,0,1,0.25,0.0,0.5,0.5,3,0,1,0.0,0.73333335,3,0,1,0.618,0.60192305,0.504,0.60192305,1,0,0,1,0,0,0,1,1,0,0,0,0,1
ambien,æmbiən,ʔambjen,ambrisentan,æmbɹɪsɛntən,ʔambɾisentan,1,0.36363637,0.6969697,0,5,0,0.27272728,0.09090909,0.5454545,0.4285714,0,5,0,0.27272728,0.7058823,0,5,0,0.4594203,0.5171053,0.40869564,0.5171053,5,3,1,4,2,1,1,0,1,1,1,0,0,1
