Brand Name,Confusible,label
Anifer,Cavsamir,u
Eracef-S,Onecure,u
Livertiale,Valazyd AM 10/160,u
Sofenac,Parkimet CR,u
Florvast 80,Paraflu,u
Hepamedica,Nizoled-600,u
Genoxiclav,Dorzodin Plus,u
Zolid Plus,Sybromex,u
Ampic-500,Avax,u
Mucolyptus,Simbrinza,u
Stanis,Acecof,u
Medicol I-400,Kedar,u
Zerone-Sul,Saphmirate-T50,u
Udcapro,Anplat,u
Nazogen,Zantol,u
Diclonac,Saver Select,u
Nervcedil,Cerin-250,u
EC-Vit,Amlobloc Duo,u
Irebevex 150,Alcoshield Ethyl Alcohol 70% Solution (Armour Boost),u
Oxalivid 100,CEFTAMED,u
Atussin,Saver Select,u
Belket,Pranol,u
Parkimet CR,Ezz-C,u
CIFREM,Muconil,u
Trimevasc,Amtacil,u
Nizoled-600,Josilvite,u
Ursodynova 300,Bronchilax,u
Bronchonov,Epribenz-10,u
Ivtig,Saphmirate-T50,u
Parkimet CR,Gliflomet 1000 + 10,u
Sofenac,Geobactam-1.5,u
Neurophrine,Josilvite,u
Oxalivid 100,Valcef,u
Sildiaz,Histacort,u
Diabee,Flucopharm,u
Goxsime IV,Feravin,u
Fulzimed,Cerox,u
Bluecozone,Esmazol,u
Ekosart,Sybromex,u
Malapine-10,Ampisulmax,u
Florvast 80,Saphmirate-T50,u
Histacort,Amtacil,u
Carbastal,Bronchonov,u
Glyhart,Lexib,u
Avax,Vesogen,u
Zefifarm,Xafariv 15,u
Khrizcopan 10,Geozit,u
Transmetil,F-ZEEN,u
Ceftris,Maalum,u
Hepses,Alsea-E,u
Regivell,Amlocare Plus,u
Zobexelle,Frenvo,u
Cetirid,Roxxin,u
Risek 40,Cosimetz,u
Astrofen,Beralipids,u
Telminex-80,Lox,u
Meditrexed-500,Prozin,u
Geozit,Medzotam,u
Asvimol,Hinuron-E,u
Relzin,Enervon C,u
Eopenem,Pregalife,u
Endosine,Extocin,u
Avax,Ketomitab,u
Acuvis,Valazyd AM 10/160,u
Hinuron-E,Aldic,u
Avator,Xet 20,u
Pneumocon 13,Piorance-15,u
J-Tinib,Syngly-4,u
Alcoshield Ethyl Alcohol 70% Solution (Armour Boost),Zincsulsaph,u
Fixcure,Telminex-80,u
Julitam I.V.,Healthcare Paracetamol (For Export Only),u
Glimesaph T4,Tractoban,u
Zeenate,Geozit,u
Folironplex,Linesave,u
Siderfol,Zeenate,u
Lotrilip,Mepracid 40,u
Bico-120,Amlobes,u
Ambrogen,Atussin,u
Regivell,Plasid,u
Zolvar,Histacort,u
Atropos,Emzart 80,u
Erlocip 150,Clonisaph-Inf,u
Thiosol,Amlocare Plus,u
Amlobloc Duo,Anifer,u
Piorance-15,Pranol,u
Fulzimed,Livertiale,u
Mupifer-C,Nazogen,u
Cetirid,Forair 250 DPI,u
Telfast,Xafariv 15,u
Flovidiazine,Meditrexed-500,u
Sildiaz,Sitixime,u
Silbecor,Eracef-S,u
Sulbacin 0.75,Exalac,u
Silbecor,Feravin,u
Mepracid 40,Xephyra 30,u
Fulzimed,Ceftris,u
Pranol,Mentra 10,u
Tres,Medzotam,u
Nizoled-600,Cilosol 50,u
Norash,Rifoxane,u
Cortef-250,Acetaffein,u
Tylin,Sofenac,u
Parkimet CR,Tractoban,u
ESSENCEE,Polyderm 4,u
Flucopharm,Kodex,u
Rozuhil-20,Maxi-Peel Solution No. 4,u
Preven-Z Gold,DARYTH,u
Asvimol,Colvan,u
Fendexi,CFX-200,u
Pentaglobin,Zefifarm,u
Frenvo,Histakon,u
F-ZEEN,Dafenac,u
Andros,RegiCee,u
Elifer,Gliflomet 1000 + 10,u
Obrex,Telday H 80/12.5,u
Regivell,Asvimol,u
Bactezole,Telday H 80/12.5,u
Saver Select,Drenex,u
Remicade,Bronchilax,u
Rabaphen,Giran-16,u
Hycortil,Bactezole,u
Vesogen,Pantin 40,u
Zylura 80,ESSENCEE,u
Sanoxime,Euromycin,u
Cilosol 50,Tazidem,u
Torval H 320/12.5,Milgesic Forte,u
Xet 20,Latosil,u
Acetyphil,Gotazo IV,u
Amidozil,Dexplatin,u
Folironplex,CIFREM,u
Powermint,Arcimet,u
Gofuroxime,Diquas-S,u
Bronchonov,Varivax,u
Cilosol 50,Zenkast,u
Exalac,Gabasaph-300,u
Lexib,Medzotam,u
Prasusafe,Clonisaph-Inf,u
Latosil,Regivell,u
Orfemed,Ipracare,u
Khrizcopan 10,Plogrel,u
Anplat,Ipracare,u
Amidozil,Zithrovic,u
Welzpime 1000,Ceftris,u
Tazidem,Sinustap,u
Varivax,Atorsaph,u
Nulong 10,Krijenta,u
Olzitec,Saphmirate-T50,u
Vesogen,Glocare Plus,u
Amlocare Plus,Multibet Plus,u
Tylin,Goxy Inj,u
Cavsamir,Alozure,u
AFM,SUREF,u
Transderm-Nitro 5,Nervilor 150,u
BRILIPAN-20,Capeceen,u
Zenkast,Endosine,u
Acetyphil,Zitabin-200,u
Preven-Z Gold,Apcee,u
Tylin,Glimesaph T4,u
Axbin,Pregalife,u
Cefohab,Gabasaph-300,u
ARB,Telfast,u
Drexabion,Clopres,u
Dimetapp DM Cold and Cough Elixir (Colour Free),AFM,u
Providol,Lotrilip,u
Gabasyn,Goxsime IV,u
Sitixime,Dilantin,u
Bronchonov,Avator,u
Trenaxin,ESSENCEE,u
Lotadim,Glyhart,u
Eopenem,Diflu,u
Euromycin,Geozit,u
Voriz,Pantin 40,u
RegiCee,HAPI-C + Z,u
Amlobes,Silbecor,u
Vancokin,Uriflo-D,u
Flazole,AFM,u
Onecure,AFM,u
Ekosart,CIFREM,u
Roxime,Livamin,u
Glyhart,Twinrix Adult,u
Hyolax,Cefiden,u
Amlobloc Duo,Cefohab,u
Unotation,CFX-200,u
Mentra 10,HAPI-C + Z,u
Maalum,Cerox,u
Docxol,Irbenov-300,u
Tigilyn,Giran-16,u
Dimetapp DM Cold and Cough Elixir (Colour Free),Twinrix Adult,u
Glyhart,Khrizcopan 10,u
Goxy Inj,Silbecor,u
Gotazo IV,Feravin,u
Extocin,Goxy Inj,u
Xafariv 15,Mupifer-C,u
Aziro-500,Clopres,u
Naphcon-A,Cavsamir,u
Voltaren Emulgel 12 Hours,Medifortan-C Plus Zinc,u
Drenex,Trenaxin,u
Norash,Feravin,u
Zylura 80,Bico-120,u
Voltaren Emulgel 12 Hours,Ipracare,u
Simbrinza,Vertisaph-8,u
Voriz,Torval-80,u
Tigilyn,Hepamedica,u
Pantopraz IV,Benace,u
Euromycin,Symdex-D Forte,u
Anifer,Bico-120,u
Muskelax,Nulong 10,u
Uriflo-D,Ketroxen,u
Livamin,Rabaphen,u
HAPI-C + Z,Benace,u
Urogen,Aldic,u
Zolid Plus,Varivax,u
Roxxin,OTOFLOX,u
Myrevit-B Forte,Ceftris,u
Capeceen,Cerox,u
Ivtig,Tres,u
Epribenz-10,Goxsime IV,u
Zincsulsaph,HAPI-C + Z,u
Bactezole,DIPP-4 PLUS,u
Urogen,Cefolic,u
Hinuron-E,Saphmustin,u
ARB,Mepracid 40,u
Rixan 20,Cetirid,u
Fulzimed,Lozamex,u
Martham,Tramicet,u
Accetaxime,Fedpain,u
Powermint,Mepracid 40,u
Pemtero 500,Arcimet,u
DAPA-5,Vomivert,u
G-PRAZ,Zenkast,u
Cerox,Decolgen,u
Naabak,Cefiden,u
Cefukon-DS,Torval-80,u
Nazogen,Pentaglobin,u
Anifer,Pantin 40,u
Portemp,CEFTAZIDEN,u
Powermint,Biemefrin,u
Voriz,Omnicure-1,u
Amidozil,Alcoshield Ethyl Alcohol 70% Solution (Armour Boost),u
Sybromex,Lovaz,u
Procee Plus,Dorzodin Plus,u
Amtacil,Atorsaph,u
Gabasyn,Cerox,u
Muskelax,Angimet,u
Obrex,Ekosart,u
Emzart 80,Zeenate,u
Maxi-Peel Solution No. 4,Drenex,u
DIPP-4 PLUS,Relzin,u
CFX-200,Zolvar,u
Cefohab,Mupisur,u
HES-130,Olangem OD 20,u
Siderfol,Risek 40,u
Stanis,Glyhart,u
Torval-80,Genoxiclav,u
Saphmustin,Belket,u
Pneumocon 13,Tres,u
Emepraz-40,Healthcare Paracetamol (For Export Only),u
Ibles,Omnicure-1,u
Xephyra 30,Cortef-250,u
Histakon,Diakon MR,u
Florvast 80,DIPP-4 PLUS,u
Saphmirate-T50,Rotoket,u
Zyrova 20,Polyderm 4,u
Ampic-500,Lexib,u
Lexib,Cortef-250,u
Sofenac,Nebstyle 5,u
Profmax,Acrolim 0.1,u
Hepamedica,Linesave,u
Luzinc,G-PRAZ,u
Lotrilip,ARB,u
Torval-80,Cefohab,u
Josilvite,Acetyphil,u
Khrizcopan 10,Luzinc,u
Voricoz,Feona FZ,u
ESSENCEE,Relzin,u
Dafenac,Brexi 0.5,u
Livertiale,Kingfloxin,u
Xet 20,Gem Pan 1000,u
Urogen,Nazogen,u
